,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Race,Department,Education Level Updated
0,32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,Other,Technology,Bachelor's Degree
1,28.0,Female,Master's,Data Analyst,3.0,65000.0,Asian,Technology,Master's Degree
2,45.0,Male,PhD,Senior Manager,15.0,150000.0,Hispanic,Management,PhD
3,36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,Hispanic,Sales & Marketing,Bachelor's Degree
4,52.0,Male,Master's,Director,20.0,200000.0,Other,Research & Strategy,Master's Degree
5,29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,African American,Sales & Marketing,Bachelor's Degree
6,42.0,Female,Master's,Product Manager,12.0,120000.0,Other,Product & Project Management,Master's Degree
7,31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,Asian,Sales & Marketing,Bachelor's Degree
8,26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,Other,Sales & Marketing,Bachelor's Degree
9,38.0,Male,PhD,Senior Scientist,10.0,110000.0,White,Research & Strategy,PhD
10,29.0,Male,Master's,Software Developer,3.0,75000.0,Hispanic,Technology,Master's Degree
11,48.0,Female,Bachelor's,HR Manager,18.0,140000.0,Other,Human Resources,Bachelor's Degree
12,35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,Asian,Finance,Bachelor's Degree
13,40.0,Female,Master's,Project Manager,14.0,130000.0,African American,Product & Project Management,Master's Degree
14,27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0,African American,Sales & Marketing,Bachelor's Degree
15,44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,Other,Operations,Bachelor's Degree
16,33.0,Female,Master's,Marketing Manager,7.0,90000.0,Asian,Sales & Marketing,Master's Degree
17,39.0,Male,PhD,Senior Engineer,12.0,115000.0,Other,Technology,PhD
18,25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0,White,Technology,Bachelor's Degree
19,51.0,Male,Bachelor's,Sales Director,22.0,180000.0,White,Sales & Marketing,Bachelor's Degree
20,34.0,Female,Master's,Business Analyst,5.0,80000.0,Other,Finance,Master's Degree
21,47.0,Male,Master's,VP of Operations,19.0,190000.0,African American,Operations,Master's Degree
22,30.0,Male,Bachelor's,IT Support,2.0,50000.0,African American,Technology,Bachelor's Degree
23,36.0,Female,Bachelor's,Recruiter,9.0,60000.0,Hispanic,Technology,Bachelor's Degree
24,41.0,Male,Master's,Financial Manager,13.0,140000.0,Asian,Finance,Master's Degree
25,28.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0,White,Sales & Marketing,Bachelor's Degree
26,37.0,Female,Master's,Software Manager,11.0,110000.0,White,Technology,Master's Degree
27,24.0,Male,Bachelor's,Junior Developer,1.0,40000.0,White,Technology,Bachelor's Degree
28,43.0,Female,PhD,Senior Consultant,15.0,140000.0,Asian,Other,PhD
29,33.0,Male,Master's,Product Designer,6.0,90000.0,African American,Product & Project Management,Master's Degree
30,50.0,Male,Bachelor's,CEO,25.0,250000.0,African American,Other,Bachelor's Degree
31,31.0,Female,Bachelor's,Accountant,4.0,55000.0,African American,Sales & Marketing,Bachelor's Degree
32,29.0,Male,Master's,Data Scientist,3.0,75000.0,Hispanic,Technology,Master's Degree
33,39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0,Hispanic,Sales & Marketing,Bachelor's Degree
34,46.0,Male,PhD,Senior Manager,20.0,170000.0,African American,Management,PhD
35,27.0,Male,Bachelor's,Technical Writer,2.0,45000.0,White,Technology,Bachelor's Degree
36,35.0,Female,Bachelor's,HR Generalist,7.0,60000.0,Other,Human Resources,Bachelor's Degree
37,42.0,Male,Master's,Project Engineer,14.0,115000.0,African American,Technology,Master's Degree
38,26.0,Female,Bachelor's,Customer Success Rep,1.0,40000.0,Hispanic,Sales & Marketing,Bachelor's Degree
39,49.0,Male,Bachelor's,Sales Executive,21.0,160000.0,White,Sales & Marketing,Bachelor's Degree
40,34.0,Female,Master's,UX Designer,5.0,80000.0,Asian,Technology,Master's Degree
41,48.0,Male,Master's,Operations Director,18.0,190000.0,Hispanic,Operations,Master's Degree
42,30.0,Male,Bachelor's,Network Engineer,3.0,60000.0,Other,Technology,Bachelor's Degree
43,36.0,Female,Bachelor's,Administrative Assistant,8.0,45000.0,Hispanic,Administration,Bachelor's Degree
44,41.0,Male,Master's,Strategy Consultant,13.0,130000.0,Other,Research & Strategy,Master's Degree
45,28.0,Female,Bachelor's,Copywriter,2.0,40000.0,Asian,Technology,Bachelor's Degree
46,32.0,Male,Bachelor's,Account Manager,5.0,75000.0,Other,Sales & Marketing,Bachelor's Degree
47,45.0,Female,Master's,Director of Marketing,16.0,180000.0,White,Sales & Marketing,Master's Degree
48,38.0,Male,PhD,Senior Scientist,11.0,120000.0,Asian,Research & Strategy,PhD
49,25.0,Male,Bachelor's,Help Desk Analyst,0.0,35000.0,Asian,Other,Bachelor's Degree
50,51.0,Female,Bachelor's,Customer Service Manager,22.0,130000.0,Hispanic,Sales & Marketing,Bachelor's Degree
51,33.0,Male,Master's,Business Intelligence Analyst,7.0,85000.0,African American,Finance,Master's Degree
52,40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0,Hispanic,Other,Bachelor's Degree
53,47.0,Male,Master's,VP of Finance,19.0,200000.0,Other,Finance,Master's Degree
54,29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0,African American,Other,Bachelor's Degree
55,36.0,Male,Bachelor's,Sales Manager,9.0,95000.0,Asian,Sales & Marketing,Bachelor's Degree
56,27.0,Female,Master's,UX Researcher,2.0,65000.0,African American,Technology,Master's Degree
57,43.0,Male,PhD,Senior Engineer,17.0,140000.0,African American,Technology,PhD
58,30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0,African American,Sales & Marketing,Bachelor's Degree
59,35.0,Male,Master's,Product Manager,7.0,105000.0,Hispanic,Product & Project Management,Master's Degree
60,51.0,Female,Master's,Director of Operations,23.0,170000.0,White,Operations,Master's Degree
61,29.0,Male,Bachelor's,Marketing Analyst,3.0,50000.0,African American,Sales & Marketing,Bachelor's Degree
62,40.0,Female,Bachelor's,HR Manager,12.0,80000.0,African American,Human Resources,Bachelor's Degree
63,47.0,Male,PhD,Senior Data Scientist,21.0,180000.0,Asian,Technology,PhD
64,26.0,Male,Bachelor's,Junior Accountant,1.0,35000.0,Other,Sales & Marketing,Bachelor's Degree
65,38.0,Female,Master's,Digital Marketing Manager,10.0,90000.0,Hispanic,Technology,Master's Degree
66,46.0,Male,Bachelor's,IT Manager,19.0,120000.0,Other,Technology,Bachelor's Degree
67,31.0,Female,Bachelor's,Customer Service Representative,5.0,45000.0,Asian,Sales & Marketing,Bachelor's Degree
68,34.0,Male,Master's,Business Development Manager,8.0,90000.0,Hispanic,Finance,Master's Degree
69,49.0,Female,Master's,Senior Financial Analyst,18.0,150000.0,Other,Finance,Master's Degree
70,33.0,Male,Bachelor's,Web Developer,6.0,65000.0,Hispanic,Technology,Bachelor's Degree
71,39.0,Female,Bachelor's,Recruiter,11.0,70000.0,African American,Technology,Bachelor's Degree
72,45.0,Male,PhD,Research Director,16.0,190000.0,Hispanic,Research & Strategy,PhD
73,28.0,Male,Bachelor's,Technical Support Specialist,2.0,40000.0,Hispanic,Other,Bachelor's Degree
74,42.0,Female,Master's,Creative Director,14.0,120000.0,African American,Research & Strategy,Master's Degree
75,37.0,Male,Bachelor's,Project Manager,10.0,95000.0,White,Product & Project Management,Bachelor's Degree
76,50.0,Female,Bachelor's,Operations Manager,22.0,160000.0,White,Operations,Bachelor's Degree
77,32.0,Male,Master's,Senior Software Engineer,6.0,100000.0,Hispanic,Technology,Master's Degree
78,48.0,Female,Master's,Human Resources Director,20.0,180000.0,Other,Human Resources,Master's Degree
